Price,Close,High,Low,Open,Volume,SMA_20,EMA_12,EMA_26,RSI,MACD,MACD_Signal,Target
2024-03-22,3803.62255859375,3829.979291151296,3749.2560100020937,3790.103935402895,5852485,3968.4077392578124,3937.2291392386733,3954.228047490108,36.67464703726463,-16.99890825143484,6.734746557163133,0
2024-03-26,3771.138916015625,3838.440690058343,3765.254821991244,3768.707491827349,3440925,3959.9172119140626,3911.676797204358,3940.6658896031095,35.65176083550173,-28.98909239875138,-0.4100212340197693,0
2024-03-27,3735.542724609375,3788.158838368847,3724.3581734819695,3781.8371355577046,1968575,3952.129357910156,3884.5792475743606,3925.4715810850553,37.339131325867534,-40.8923335106947,-8.506483689354754,1
2024-03-28,3769.971923828125,3807.6103232125056,3735.153881557504,3744.490645526798,4311783,3941.037219238281,3866.947351613401,3913.953087954912,35.74249083258866,-47.00573634151078,-16.206334219785962,1
2024-04-01,3809.3125,3825.408576562606,3781.399796164316,3790.7849991059966,1569676,3931.204541015625,3858.0804513651856,3906.201933291585,35.36503024604714,-48.12148192639961,-22.589363761108693,0
2024-04-02,3777.266357421875,3802.601846327223,3766.76255686981,3783.29624224724,2142666,3920.929333496094,3845.6475138354454,3896.651149893829,32.32051085515104,-51.00363605838356,-28.27221822056367,1
2024-04-03,3839.0244140625,3871.799965376353,3745.365904713473,3745.365904713473,3973090,3913.778515625,3844.6285754088385,3892.382502795212,31.672285716968915,-47.75392738637356,-32.16856005372565,1
2024-04-04,3893.48828125,3918.142780385877,3827.304866462404,3866.83972932028,3394637,3910.014685058594,3852.1454532305556,3892.4644123103812,39.30250860252906,-40.31895907982562,-33.79863985894564,0
2024-04-05,3870.09814453125,3892.224106154191,3851.862461874981,3868.8824323541658,1636819,3908.417236328125,3854.907405738355,3890.807651734149,32.33814636995248,-35.900245995794194,-34.21896108631535,0
2024-04-08,3863.581787109375,3922.033083278546,3851.375989955484,3873.7450929274473,2302538,3903.9555786132814,3856.241925949281,3888.7909210212033,30.771653888400408,-32.54899507192249,-33.88496788343679,0
2024-04-09,3838.294921875,3905.694048254169,3817.384673734395,3874.717608938137,1876992,3896.0753173828125,3853.4808483993916,3885.0504766400027,32.85892948250006,-31.56962824061111,-33.42189995487165,1
2024-04-10,3875.349853515625,3880.747662969457,3810.528176426063,3847.8747588285305,2101965,3889.3791748046874,3856.845310724966,3884.331911964123,50.79265562509103,-27.4866012391567,-32.23484021172866,1
2024-04-12,3891.640380859375,3903.262778963109,3837.273828513629,3862.0743563623423,4354821,3880.0984130859374,3862.198398437952,3884.873280030438,53.217317622136896,-22.67488159248569,-30.322848487880066,0
2024-04-15,3833.091796875,3952.717874429233,3811.549472195389,3891.640447506282,4200329,3869.9934204101564,3857.7204597359596,3881.0376146115163,47.0168376025639,-23.317154875556753,-28.921709765415404,0
2024-04-16,3766.567626953125,3820.934173085947,3756.8906068381593,3794.966612030053,3051420,3853.7125732421873,3843.6969470001386,3872.5583562664506,46.462396192420734,-28.861409266311966,-28.90964966559472,0
2024-04-18,3756.06396484375,3828.034118494304,3744.393129116633,3770.458043062613,3476284,3836.3400390625,3830.2149497453097,3863.9291420869913,48.49776052044483,-33.71419234168161,-29.870558200812102,0
2024-04-19,3721.246337890625,3746.873645835248,3696.640275674437,3732.7227084538367,2957749,3820.47255859375,3813.4505479215118,3853.360045479853,48.573131459627206,-39.90949755834117,-31.878346072317918,1
2024-04-22,3758.593017578125,3771.6253567885888,3707.4357555642346,3731.749998452248,1728883,3814.992150878906,3805.0109278686828,3846.3402656352805,48.87088975089223,-41.329337766597746,-33.768544411173885,1
2024-04-23,3768.416015625,3788.159229315325,3754.702924424176,3770.701649547033,1807586,3810.314111328125,3799.3809413696545,3840.5680989678526,45.68939517926199,-41.187157598198155,-35.252267048578744,0
2024-04-24,3725.96337890625,3791.07687601712,3719.544323594792,3783.296318036582,1317312,3803.4137451171873,3788.0859317598997,3832.0788604447707,44.70860127706485,-43.992928684871,-37.0003993758372,1
2024-04-25,3746.532958984375,3767.394531605907,3706.463134746145,3706.657601197812,2856271,3800.5592651367188,3781.6931667175113,3825.74212700326,39.57463624260363,-44.04896028574876,-38.41011155781951,0
2024-04-26,3716.529296875,3770.458238943657,3698.2449391305313,3749.401962592489,2039178,3797.8287841796873,3771.66795597251,3817.6522877345,28.88964613368283,-45.984331761990234,-39.92495559865365,1
2024-04-29,3764.039306640625,3771.4309315368455,3714.438250607191,3732.722608947488,1110693,3799.25361328125,3770.494317613758,3813.6809558016203,38.036181972906206,-43.18663818786217,-40.57729211649536,0
2024-04-30,3715.848388671875,3775.272493268424,3705.490616178965,3765.789938541982,2203078,3796.5474365234377,3762.087251622699,3806.4340989771945,34.76732969363282,-44.34684735449537,-41.33120316409536,1
2024-05-02,3757.32861328125,3764.914704518402,3674.417045390118,3674.417045390118,2491044,3793.9482421875,3761.3551534163225,3802.79665559231,41.92140397511025,-41.44150217598735,-41.353262966473764,0
2024-05-03,3737.97412109375,3786.797307782585,3693.4306208015673,3783.4417525141935,2962234,3791.9836303710936,3757.758071520542,3797.9949863701945,35.79114082272807,-40.236914849652294,-41.129993343109476,1
2024-05-06,3813.494384765625,3831.875856708849,3747.310970665456,3747.310970665456,2053831,3790.70712890625,3766.3328889428626,3799.143089955041,42.799535334884624,-32.81020101217837,-39.46603487692326,1
2024-05-07,3869.80615234375,3878.6079555993488,3806.151513098809,3822.977016362857,2062112,3789.5230224609377,3782.2518525429996,3804.3773908727235,53.39690645733435,-22.125538329723895,-35.99793556748339,0
2024-05-08,3867.861083984375,3875.0095663734273,3830.563177847568,3852.348644505229,1247685,3789.411169433594,3795.4225035339805,3809.0798866587716,60.64387957299083,-13.657383124791068,-31.529825078944924,0
2024-05-09,3851.570556640625,3862.074357102614,3802.7962801729855,3853.32122962492,1726486,3788.8106079101562,3804.0606655503875,3812.2273436944647,59.91521269568982,-8.166678144077196,-26.857195691971377,0
2024-05-10,3787.089111328125,3864.6031074267457,3778.4820118323983,3853.9048405813305,1672489,3786.2503173828127,3801.4496572085013,3810.365252408069,56.43900976218171,-8.915595199567633,-23.26887559349063,1
2024-05-13,3839.510498046875,3846.512952013115,3763.844532058345,3777.9467919329823,931326,3784.458349609375,3807.3051711836356,3812.524159492425,57.68658827894895,-5.218988308789449,-19.658898136550395,0
2024-05-14,3794.188720703125,3837.565422637813,3786.11634501382,3828.0341924544327,1058317,3779.5857666015627,3805.2872557250957,3811.165978841366,52.29354210327577,-5.878723116270066,-16.90286313249433,0
2024-05-15,3773.959228515625,3819.2323938552713,3769.1937321404057,3797.3982523912314,1115021,3776.6291381835936,3800.4675592313306,3808.4099232616813,54.44710217085527,-7.9423640303507455,-15.110763312065613,1
2024-05-16,3821.5205078125,3829.8964642714295,3765.240327516879,3811.871212722825,2599399,3779.3767822265627,3803.7064743976644,3809.3810776728533,56.617066334609426,-5.674603275188929,-13.223531304690276,0
2024-05-17,3756.031982421875,3840.182831975143,3752.0153689961217,3839.203193497598,2765804,3779.3751831054688,3796.3719371706197,3805.4292928394475,53.280369924796176,-9.057355668827768,-12.390296177517776,0
2024-05-21,3742.4150390625,3766.465212644621,3732.471803718336,3752.6034232070624,1908117,3780.4336181640624,3788.0708759232166,3800.7615703374513,48.09717260210406,-12.690694414234713,-12.450375824861164,1
2024-05-22,3753.974853515625,3763.0365099339497,3739.819124566317,3756.913769110757,1311168,3780.2027099609377,3782.825334014356,3797.2958876099087,53.586125241346885,-14.470553595552701,-12.854411378999473,1
2024-05-23,3814.17333984375,3825.488211966575,3747.6069538740417,3762.742320348681,2095742,3782.490576171875,3787.648104141955,3798.54606925686,55.16487328940025,-10.897965114904764,-12.463122126180531,0
2024-05-24,3771.118408203125,3804.720056608894,3766.0243358337225,3799.2830150964464,1309452,3784.748327636719,3785.10507399752,3796.514390660287,52.88712442755787,-11.409316662767196,-12.252361033497866,0
