Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2024-01-29,3696.7373046875,3715.216128362602,3677.1401208727275,3696.542838242831,1646747
2024-01-30,3696.2998046875,3742.253722811887,3683.1214378212753,3703.010440610695,1411621
2024-01-31,3711.27734375,3728.8322745343594,3692.312234372478,3706.657637619578,2459358
2024-02-01,3748.429443359375,3797.7873560173143,3700.6764131851514,3715.216282824203,2363107
2024-02-02,3857.503173828125,3875.1065425906513,3765.7898054070656,3768.7561904233226,2826510
2024-02-05,3864.31103515625,3911.67512958968,3853.41830257255,3873.7449132659613,1691523
2024-02-06,4022.548095703125,4036.066718938935,3880.552925980529,3887.3609135699685,4474396
2024-02-07,3971.390869140625,4041.0269520279267,3962.2001333088815,4039.0818127008374,2124267
2024-02-08,4020.700439453125,4043.944760003293,3973.9684184871803,3977.8100212634604,2345173
2024-02-09,4020.311767578125,4069.9612633858887,3987.5359770313985,4023.083211456978,2100596
2024-02-12,4007.66796875,4045.500833365555,3992.933158561447,4016.712676589731,1013716
2024-02-13,4035.677978515625,4055.615657406954,3969.543238778533,4012.287867137159,1257415
2024-02-14,3987.633056640625,4002.026898009872,3938.4209356490796,3994.3436924832126,1391283
2024-02-15,3990.64794921875,4032.565320923148,3971.001852474619,4014.767486410783,1091582
2024-02-16,4015.0595703125,4034.1709461020446,3987.633387876024,4000.422585306404,1307556
2024-02-19,3991.23095703125,4015.058912365614,3943.7697502386195,4009.9529219368214,772291
2024-02-20,3920.087890625,3985.59055363256,3900.0044216853503,3970.126790678697,1193648
2024-02-21,3882.01220703125,3951.891439444616,3871.4112915974815,3902.9224569250673,1885939
2024-02-22,3974.98974609375,3982.6242758305775,3862.074308087051,3862.074308087051,2982052
2024-02-23,3940.949462890625,4016.71254151704,3935.405626086553,4016.71254151704,2538072
2024-02-26,3891.2998046875,3938.9070410654526,3873.501732790971,3925.2910661086835,1379284
2024-02-27,3991.814697265625,4010.8771570048384,3889.305953167398,3889.305953167398,2960475
2024-02-28,4005.966064453125,4040.9296594385924,3976.8374126470994,3983.2564674982855,1939225
2024-02-29,3982.7705078125,4024.5910073734153,3953.058454240348,3986.563434888184,3772719
2024-03-01,3982.040771484375,4026.438482479131,3974.697822898346,3994.5383868724766,2043265
2024-03-04,3968.764892578125,4004.9444357896173,3964.09651080547,3992.3983823791336,1749271
2024-03-05,3902.047119140625,3952.5233932850347,3870.8275357466628,3950.5782538198355,2070859
2024-03-06,3952.81494140625,3960.3036803464424,3849.86834727239,3884.491922362945,1744204
2024-03-07,3995.900146484375,4010.877625569365,3926.9448091459244,3953.4960106545755,2688905
2024-03-11,4009.272705078125,4039.081870716427,3976.837411355519,3976.837411355519,2304068
2024-03-12,4077.255615234375,4113.921685490996,4008.00845770711,4009.2730833397145,4039801
2024-03-13,4035.191650390625,4124.668062016544,4018.560613686994,4089.6555531194454,2837260
2024-03-14,4092.1845703125,4109.10718896528,3973.919993872695,4039.5200133888384,2919608
2024-03-15,4103.5146484375,4122.7228997396605,4062.4235791961696,4077.595761278169,3373143
2024-03-18,4038.595947265625,4138.041205690167,4004.8964999017194,4099.624699990711,1526904
