Price,Close,High,Low,Open,Volume,SMA_20,EMA_12,EMA_26,RSI,MACD,MACD_Signal
2024-02-23,3940.949462890625,4016.71254151704,3935.405626086553,4016.71254151704,2538072,3917.773303222656,3944.9441514970076,3889.9999607479585,56.03183405524497,54.944190749049085,65.66862026061345
2024-02-26,3891.2998046875,3938.9070410654526,3873.501732790971,3925.2910661086835,1379284,3927.501428222656,3936.6911750647755,3890.0962454842206,37.540402670875544,46.59492958055489,61.85388212460174
2024-02-27,3991.814697265625,4010.8771570048384,3889.305953167398,3889.305953167398,2960475,3942.2771728515627,3945.171716941829,3897.630945616176,51.772737945187025,47.54077132565271,58.99125996481194
2024-02-28,4005.966064453125,4040.9296594385924,3976.8374126470994,3983.2564674982855,1939225,3957.011608886719,3954.524693482028,3905.655769233728,48.63796351713784,48.86892424830012,56.96679282150958
2024-02-29,3982.7705078125,4024.5910073734153,3953.058454240348,3986.563434888184,3772719,3968.728662109375,3958.8702033790237,3911.3679720914147,46.670114161451025,47.50223128760899,55.07388051472947
2024-03-01,3982.040771484375,4026.438482479131,3974.697822898346,3994.5383868724766,2043265,3974.9555419921876,3962.4349061644625,3916.602994268671,47.67780337618793,45.83191189579156,53.22548679094189
2024-03-04,3968.764892578125,4004.9444357896173,3964.09651080547,3992.3983823791336,1749271,3980.1782348632814,3963.408750228103,3920.4668385878895,43.770354382181424,42.941911640213675,51.168771760796254
2024-03-05,3902.047119140625,3952.5233932850347,3870.8275357466628,3950.5782538198355,2070859,3974.153186035156,3953.968499291568,3919.1024149251293,42.29963589332659,34.86608436643883,47.90823428192478
2024-03-06,3952.81494140625,3960.3036803464424,3849.86834727239,3884.491922362945,1744204,3973.2243896484374,3953.791028847673,3921.599639108916,46.86542721813442,32.1913897387567,44.76486537329116
2024-03-07,3995.900146484375,4010.877625569365,3926.9448091459244,3953.4960106545755,2688905,3971.984375,3960.2693546379346,3927.103380395987,48.460232331726665,33.165974241947424,42.44508714702241
2024-03-11,4009.272705078125,4039.081870716427,3976.837411355519,3976.837411355519,2304068,3971.432421875,3967.8083316287334,3933.1899970391087,51.47472910715619,34.61833458962474,40.879736635542876
2024-03-12,4077.255615234375,4113.921685490996,4008.00845770711,4009.2730833397145,4039801,3974.9118041992188,3984.6463752603704,3943.8615243128324,62.913574640120004,40.78485094753796,40.8607594979419
2024-03-13,4035.191650390625,4124.668062016544,4018.560613686994,4089.6555531194454,2837260,3974.887487792969,3992.4225714342556,3950.6267188371135,62.50393100091953,41.79585259714213,41.047778117781945
2024-03-14,4092.1845703125,4109.10718896528,3973.919993872695,4039.5200133888384,2919608,3980.1150634765627,4007.7705712616776,3961.112485613068,60.163624121854234,46.65808564860936,42.169839623947425
2024-03-15,4103.5146484375,4122.7228997396605,4062.4235791961696,4077.595761278169,3373143,3985.7583984375,4022.500429288727,3971.6607939704336,64.67644321837135,50.8396353182934,43.90379876281662
2024-03-18,4038.595947265625,4138.041205690167,4004.8964999017194,4099.624699990711,1526904,3986.9352172851563,4024.9766628236343,3976.618953473781,62.941162086647495,48.357709349853394,44.79458088022398
2024-03-19,3868.201171875,3946.687492208131,3857.794724497652,3940.1226473159663,8931209,3980.783728027344,4000.8573565238444,3968.5880066886857,40.32726604436167,32.269349835158664,42.28953467121092
2024-03-20,3861.976806640625,3907.78493306345,3851.570358663032,3876.6627036313866,1817913,3977.878173828125,3979.491118080272,3960.6908807592,38.591336240081404,18.800237321072018,37.59167520118314
2024-03-21,3863.970703125,3898.4482511532437,3839.705136843681,3880.6017398046433,3829582,3976.9760986328124,3961.718746548692,3953.5264231566666,40.25992534672459,8.192323392025173,31.71180483935155
2024-03-22,3803.62255859375,3829.979291151296,3749.2560100020937,3790.103935402895,5852485,3968.4077392578124,3937.3962560940854,3942.422433189043,36.67464703726463,-5.026177094957802,24.36420845248968
2024-03-26,3771.138916015625,3838.440690058343,3765.254821991244,3768.7074918273493,3440925,3959.9172119140626,3911.8182037743222,3929.7347652502713,35.65176083550173,-17.916561475949038,15.908054466801937
2024-03-27,3735.542724609375,3788.158838368847,3724.3581734819704,3781.8371355577046,1968575,3952.129357910156,3884.6988992874076,3915.350169647242,37.339131325867534,-30.651270359834598,6.59618950147463
2024-03-28,3769.971923828125,3807.6103232125056,3735.153881557504,3744.490645526798,4311783,3941.037219238281,3867.0485953705947,3904.5814106976777,35.74249083258866,-37.53281532708297,-2.229611464236891
2024-04-01,3809.3125,3825.408576562606,3781.3997961643163,3790.7849991059966,1569676,3931.204541015625,3858.166119159734,3897.524454349702,35.36503024604714,-39.358335189967875,-9.655356209383088
2024-04-02,3777.266357421875,3802.6018463272226,3766.76255686981,3783.29624224724,2142666,3920.929333496094,3845.7200019692946,3888.616447169863,32.32051085515104,-42.89644520056845,-16.303574007620163
2024-04-03,3839.0244140625,3871.799965376353,3745.365904713473,3745.365904713473,3973090,3913.778515625,3844.6899115220954,3884.9429632359843,31.672285716968915,-40.25305171388891,-21.093469548873912
2024-04-04,3893.48828125,3918.1427803858774,3827.304866462404,3866.8397293202797,3394637,3910.014685058594,3852.197353018696,3885.575949755541,39.30250860252906,-33.378596736844884,-23.55049498646811
2024-04-05,3870.09814453125,3892.224106154191,3851.8624618749805,3868.8824323541658,1636819,3908.417236328125,3854.9513209437046,3884.4294456648527,32.33814636995248,-29.478124721148106,-24.73602093340411
2024-04-08,3863.581787109375,3922.0330832785467,3851.375989955484,3873.7450929274473,2302538,3903.9555786132814,3856.279084969192,3882.8851746607434,30.771653888400408,-26.60608969155146,-25.110034685033582
2024-04-09,3838.294921875,3905.694048254169,3817.384673734395,3874.717608938137,1876992,3896.0753173828125,3853.5122906470087,3879.582192972911,32.85892948250006,-26.06990232590215,-25.302008213207298
2024-04-10,3875.349853515625,3880.7476629694565,3810.528176426063,3847.8747588285305,2101965,3889.3791748046874,3856.871915703719,3879.268686346445,50.79265562509103,-22.396770642726096,-24.72096069911106
2024-04-12,3891.640380859375,3903.262778963109,3837.2738285136293,3862.0743563623423,4354821,3880.0984130859374,3862.2209103430505,3880.1851081622176,53.217317622136896,-17.96419781916711,-23.369608123122273
2024-04-15,3833.091796875,3952.717874429233,3811.549472195389,3891.6404475062823,4200329,3869.9934204101564,3857.7395082710427,3876.696714733535,47.0168376025639,-18.957206462492195,-22.487127790996258
2024-04-16,3766.567626953125,3820.934173085947,3756.8906068381593,3794.966612030053,3051420,3853.7125732421873,3843.7130649913634,3868.5390045275785,46.462396192420734,-24.825939536215174,-22.954890140040042
2024-04-18,3756.06396484375,3828.0341184943036,3744.393129116633,3770.458043062613,3476284,3836.3400390625,3830.2285880455765,3860.2075201065545,48.49776052044483,-29.978932060977968,-24.359698524227632
2024-04-19,3721.246337890625,3746.8736458352478,3696.6402756744365,3732.7227084538367,2957749,3820.47255859375,3813.4620880217376,3849.914099201671,48.573131459627206,-36.45201117993338,-26.778161055368784
2024-04-22,3758.593017578125,3771.6253567885888,3707.4357555642346,3731.7499984522474,1728883,3814.992150878906,3805.020692568874,3843.1495746369637,48.87088975089223,-38.12888206808975,-29.04830525791298
2024-04-23,3768.416015625,3788.1592293153244,3754.702924424176,3770.7016495470325,1807586,3810.314111328125,3799.389203808278,3837.6137554508923,45.68939517926199,-38.22455164261419,-30.88355453485322
2024-04-24,3725.96337890625,3791.07687601712,3719.544323594792,3783.296318036582,1317312,3803.4137451171873,3788.09292305412,3829.343357188326,44.70860127706485,-41.25043413420599,-32.956930454723775
2024-04-25,3746.532958984375,3767.394531605907,3706.4631347461445,3706.657601197812,2856271,3800.5592651367188,3781.6990824280056,3823.2092536176633,39.57463624260363,-41.51017118965774,-34.667578601710574
2024-04-26,3716.529296875,3770.4582389436573,3698.2449391305313,3749.401962592489,2039178,3797.8287841796873,3771.6729615736967,3815.3070345996884,28.88964613368283,-43.63407302599171,-36.4608774865668
2024-04-29,3764.039306640625,3771.4309315368455,3714.4382506071906,3732.7226089474875,1110693,3799.25361328125,3770.4985531224547,3811.509425121239,38.036181972906206,-41.010871998784296,-37.370876389010306
2024-04-30,3715.848388671875,3775.272493268424,3705.490616178965,3765.789938541982,2203078,3796.5474365234377,3762.090835514673,3804.423422421286,34.76732969363282,-42.33258690661296,-38.363218492530834
2024-05-02,3757.32861328125,3764.9147045184022,3674.417045390118,3674.417045390118,2491044,3793.9482421875,3761.3581859403002,3800.934918040543,41.92140397511025,-39.57673210024268,-38.605921214073206
2024-05-03,3737.97412109375,3786.7973077825845,3693.4306208015673,3783.4417525141935,2962234,3791.9836303710936,3757.7606375023697,3796.2711553037434,35.79114082272807,-38.51051780137368,-38.5868405315333
2024-05-06,3813.494384765625,3831.875856708849,3747.310970665456,3747.310970665456,2053831,3790.70712890625,3766.335060158255,3797.5469500786976,42.799535334884624,-31.211889920442445,-37.11185040931513
2024-05-07,3869.80615234375,3878.6079555993488,3806.151513098809,3822.9770163628573,2062112,3789.5230224609377,3782.253689725254,3802.899483579812,53.39690645733435,-20.64579385455818,-33.81863909836374
2024-05-08,3867.861083984375,3875.0095663734273,3830.563177847568,3852.348644505229,1247685,3789.411169433594,3795.424058072811,3807.71145398015,60.64387957299083,-12.287395907339032,-29.5123904601588
2024-05-09,3851.570556640625,3862.074357102614,3802.7962801729855,3853.32122962492,1726486,3788.8106079101562,3804.0619809293976,3810.9602763994444,59.91521269568982,-6.898295470046833,-24.989571462136407
2024-05-10,3787.089111328125,3864.6031074267457,3778.4820118323983,3853.9048405813305,1672489,3786.2503173828127,3801.4507702215096,3809.192041949717,56.43900976218171,-7.741271728207266,-21.539911515350582
2024-05-13,3839.510498046875,3846.512952013115,3763.844532058345,3777.9467919329823,931326,3784.458349609375,3807.3061129638736,3811.4378535124692,57.68658827894895,-4.131740548595644,-18.058277321999594
2024-05-14,3794.188720703125,3837.565422637813,3786.11634501382,3828.0341924544327,1058317,3779.5857666015627,3805.288052616066,3810.160139971036,52.29354210327577,-4.872087354970063,-15.421039328593688
2024-05-15,3773.959228515625,3819.2323938552713,3769.1937321404057,3797.3982523912305,1115021,3776.6291381835936,3800.4682335236903,3807.478590974339,54.44710217085527,-7.010357450648826,-13.738902953004716
2024-05-16,3821.5205078125,3829.8964642714295,3765.240327516879,3811.871212722825,2599399,3779.3767822265627,3803.7070449527378,3808.5187329623514,56.617066334609426,-4.81168800961359,-11.953459964326491
